time: 6.45.11 | liltdog2: yo 
time: 6.54.59 | sgsrocks: school girls

time: 6.55.0 | sgsrocks: lol 

time: 6.55.6 | liltdog2: oo nice

time: 6.55.11 | sgsrocks: come

time: 6.55.14 | liltdog2: wat it do ladies 

time: 6.55.29 | sgsrocks: look 

time: 6.55.49 | sgsrocks: ;p

time: 6.55.51 | liltdog2: dang 

time: 6.55.52 | liltdog2: kqueen

time: 6.55.55 | sgsrocks: no

time: 6.55.57 | sgsrocks: lol 

time: 6.56.3 | liltdog2: wat is this

time: 6.56.11 | liltdog2: oh the cockroach

time: 6.56.14 | liltdog2: from rs back in the day 

time: 6.56.16 | liltdog2: dam

time: 6.56.25 | sgsrocks: been longtime huh

time: 6.56.26 | sgsrocks: lol 

time: 6.56.30 | liltdog2: that was like 2010-2012ish 

time: 6.56.36 | liltdog2: from my memory 

time: 6.56.38 | sgsrocks: 2008  2009 maps 

time: 6.56.39 | sgsrocks: lol 

time: 6.56.42 | sgsrocks: aka 525 

time: 6.56.44 | liltdog2: o im dumb lmao

time: 6.56.51 | sgsrocks: or 508 idfk remember

time: 6.56.54 | liltdog2: i aint played much rs or rsps in years man 

time: 6.56.59 | liltdog2: took a long break for sure 

time: 6.57.9 | liltdog2: ima go theiv again

time: 6.57.12 | sgsrocks: kk

time: 6.57.21 | sgsrocks: coming to hang out

time: 6.57.22 | sgsrocks: lol 

time: 6.58.19 | liltdog2: ya i gotchu

time: 6.58.25 | sgsrocks: need to see something 

time: 6.59.30 | sgsrocks: might move these rocks

time: 6.59.31 | sgsrocks: lol 

time: 6.59.55 | sgsrocks: u can see the swords?

time: 6.59.59 | liltdog2: yessir 

time: 7.0.2 | sgsrocks: um 

time: 7.0.7 | liltdog2: here

time: 7.0.11 | liltdog2: here

time: 7.0.13 | sgsrocks: ya i know

time: 7.0.16 | liltdog2: ok 

time: 7.0.17 | sgsrocks: its cerb

time: 7.0.27 | sgsrocks: pointing us 

time: 7.0.29 | sgsrocks: somewhere 

time: 7.0.51 | sgsrocks: vc?

time: 7.0.52 | liltdog2: will ::tele work eventually

time: 7.0.59 | sgsrocks: 0's 

time: 7.0.59 | sgsrocks: brp 

time: 7.1.1 | sgsrocks: bro

time: 7.1.3 | sgsrocks: like in gh

time: 7.1.4 | sgsrocks: lol 

time: 7.1.7 | liltdog2: yeah 

time: 7.1.22 | sgsrocks: like ::tele 03200 03200

time: 7.1.26 | liltdog2: yee

time: 7.1.45 | sgsrocks: need to see 

time: 7.3.59 | liltdog2: remember this spot dude 

time: 7.3.59 | sgsrocks: lol 

time: 7.4.4 | sgsrocks: ;;mine 

time: 7.4.5 | sgsrocks: lol 

time: 7.4.5 | liltdog2: og trading spot on reborn 

time: 7.4.11 | sgsrocks: and gh 

time: 7.4.12 | sgsrocks: lol 

time: 7.4.33 | sgsrocks: go to lumby 

time: 7.4.35 | liltdog2: clasic dude 

time: 7.4.35 | sgsrocks: follow

time: 7.4.40 | sgsrocks: or come 

time: 7.4.41 | sgsrocks: ficl

time: 7.5.11 | liltdog2: lol my spells on ancients even tho never change it

time: 7.5.17 | sgsrocks: lol 

time: 7.5.32 | sgsrocks: u ready to feak out

time: 7.5.42 | sgsrocks: click the cave 

time: 7.5.43 | sgsrocks: lol 

time: 7.5.51 | sgsrocks: clickable 

time: 7.5.52 | sgsrocks: xd 

time: 7.6.6 | sgsrocks: 08 lumby 

time: 7.6.10 | liltdog2: woah 

time: 7.6.56 | liltdog2: nice 

time: 7.6.59 | sgsrocks: i added 32k clicking 

time: 7.7.15 | sgsrocks: to make it fell better then it did before 

time: 7.7.22 | sgsrocks: doing it right this time 

time: 7.8.40 | sgsrocks: give me

time: 7.8.45 | sgsrocks: the hunter cape 

time: 7.9.3 | liltdog2: nice 

time: 7.10.18 | sgsrocks: fells great 

time: 7.10.22 | sgsrocks: to see this 

time: 7.10.22 | liltdog2: yeee 

time: 7.10.33 | sgsrocks: non ofthoses osrs servers 

time: 7.10.34 | sgsrocks: lol 

time: 7.10.36 | liltdog2: will be nice in a couple hr when ppl wake up and get on 

time: 7.10.43 | sgsrocks: too many out there now 

time: 7.10.44 | sgsrocks: lol 

time: 7.10.49 | liltdog2: ye 

time: 7.10.56 | liltdog2: dont make em like they used to 

time: 7.11.3 | sgsrocks: have u seen a rise of xeros copys 

time: 7.11.8 | sgsrocks: with 200+ data 

time: 7.11.9 | sgsrocks: lol 

time: 7.11.22 | liltdog2: i aint been trying out rsps recently

time: 7.11.36 | liltdog2: year or two back i tried some ones out but all shit ngl 

time: 7.11.37 | sgsrocks: im godjessejames on runesuite  

time: 7.11.50 | sgsrocks: i been flooding it with updated data servers

time: 7.11.51 | sgsrocks: for osrs 

time: 7.11.53 | sgsrocks: lol 

time: 7.11.56 | liltdog2: u ever play alora back in the day? that was one of my all time fave

time: 7.12.46 | sgsrocks: played too many sir 

time: 7.12.48 | sgsrocks: lol 

time: 7.12.55 | sgsrocks: as u see i am still here 

time: 7.12.56 | sgsrocks: lol 

time: 7.13.2 | liltdog2: lol 

time: 7.13.18 | sgsrocks: stepped away from this to learn more so one day i could break the new gods 

time: 7.13.19 | sgsrocks: gods 

time: 7.13.22 | sgsrocks: with ghr

time: 7.13.25 | sgsrocks: l;p 

time: 7.13.35 | liltdog2: good idea

time: 7.13.38 | sgsrocks: odd question for u

time: 7.13.56 | liltdog2: ?

time: 7.13.56 | sgsrocks: what if demon and arean come would you think everyone would welcome 

time: 7.13.59 | sgsrocks: welcome them

time: 7.14.26 | liltdog2: i think it been long enough if u a og godzhell player 

time: 7.14.32 | liltdog2: want as many as possible 

time: 7.14.44 | liltdog2: like no one care about old drama orwhatever 

time: 7.14.49 | sgsrocks: message goodguyryan ;p

time: 7.14.49 | liltdog2: just want old players back 

time: 7.14.55 | sgsrocks: his demon

time: 7.14.55 | sgsrocks: xd 

time: 7.14.59 | liltdog2: lol ok 

time: 7.15.5 | sgsrocks: they scared 

time: 7.15.11 | sgsrocks: people wont welcome then

time: 7.15.14 | sgsrocks: welcome them

time: 7.15.23 | liltdog2: y casue they fucked with ppl back i nthe day 

time: 7.15.27 | liltdog2: ?

time: 7.15.36 | sgsrocks: i forgive them for everything that happened with ghr in the early days

time: 7.15.37 | sgsrocks: and yes

time: 7.15.54 | sgsrocks: atless im not typing every line now xd

time: 7.16.1 | liltdog2: was arean corrupt mol  admin? 

time: 7.16.4 | liltdog2: mod

time: 7.16.11 | sgsrocks: idk

time: 7.16.19 | liltdog2: i remember some mod on very first version of ghreborn 

time: 7.16.21 | sgsrocks: both ofthem have moved on and got great lives now 

time: 7.16.26 | liltdog2: giving out mod armour lmao

time: 7.16.44 | sgsrocks: one sec

time: 7.16.45 | liltdog2: like the white and red armour

time: 7.17.30 | sgsrocks: omg 

time: 7.18.6 | sgsrocks: o fuck 

time: 7.18.11 | sgsrocks: lol 

time: 7.18.49 | sgsrocks: o fuck 

time: 7.18.54 | liltdog2: ?

time: 7.18.56 | sgsrocks: lol 

time: 7.19.6 | sgsrocks: pick what u want 

time: 7.19.7 | sgsrocks: lol 

time: 7.19.28 | liltdog2: shit

time: 7.19.30 | sgsrocks: remember my random dp

time: 7.19.31 | sgsrocks: lol 

time: 7.19.31 | liltdog2: ware is dp at lmao 

time: 7.19.35 | sgsrocks: here

time: 7.19.35 | sgsrocks: lol 

time: 7.19.43 | liltdog2: o well i aint see it lol 

time: 7.19.49 | liltdog2: i checked skillz & home

time: 7.19.51 | sgsrocks: 60 secs

time: 7.19.53 | sgsrocks: remember 

time: 7.19.54 | sgsrocks: lol 

time: 7.19.58 | sgsrocks: fuck 

time: 7.19.59 | liltdog2: fuck yeah! 

time: 7.20.7 | sgsrocks: one sec

time: 7.20.10 | liltdog2: x[)

time: 7.20.34 | sgsrocks: gen vc? 

time: 7.20.36 | liltdog2: if i spam stall

time: 7.20.36 | sgsrocks: xd 

time: 7.21.10 | sgsrocks: lol 

time: 7.21.20 | liltdog2: dam

time: 7.21.29 | liltdog2: best i got is crystal shield and bronze claw

time: 7.21.30 | sgsrocks: its random remember 

time: 7.21.40 | liltdog2: and random junk item haha 

time: 7.23.28 | liltdog2: how to get lucky box 

time: 7.23.34 | sgsrocks: drops

time: 7.23.35 | sgsrocks: lol 

time: 7.23.40 | sgsrocks: from train

time: 7.23.55 | liltdog2: ima go train some shit 

time: 7.24.1 | liltdog2: i want pring lol 

time: 7.24.1 | sgsrocks: u should see my friends list 

time: 7.24.4 | sgsrocks: its huge 

time: 7.24.23 | sgsrocks: should see my friends list 

time: 7.24.26 | sgsrocks: its huge 

time: 7.24.27 | sgsrocks: lol 

time: 7.24.31 | liltdog2: ya i bet

time: 7.24.58 | sgsrocks: top of the list is arberj and zezima and legend and twistndshout 

time: 7.25.1 | sgsrocks: lol 

time: 7.26.18 | sgsrocks: 60 hp

time: 7.26.19 | sgsrocks: lol 

time: 7.26.46 | sgsrocks: might bump it down

time: 7.26.49 | sgsrocks: to half of that 

time: 7.26.50 | sgsrocks: lkol 

time: 7.27.10 | liltdog2: ye 

time: 7.27.16 | sgsrocks: okay

time: 7.27.23 | sgsrocks: stop attacking it 

time: 7.27.26 | sgsrocks: till reboo 

time: 7.27.27 | sgsrocks: lol 

time: 7.27.29 | liltdog2: ok 

time: 7.27.35 | sgsrocks: regions have to load

time: 7.30.18 | liltdog2: i got bettergear nnow 

time: 7.30.23 | liltdog2: did a shops run

time: 7.30.45 | sgsrocks: shops

time: 7.30.51 | sgsrocks: there s a armour shop 

time: 7.30.55 | sgsrocks: if i remember right

time: 7.30.58 | liltdog2: yee

time: 7.31.13 | sgsrocks: better? 

time: 7.31.16 | liltdog2: ya 

time: 7.31.56 | sgsrocks: wait 

time: 7.32.0 | sgsrocks: is the devs

time: 7.32.2 | sgsrocks: defs 

time: 7.32.3 | sgsrocks: working

time: 7.32.4 | sgsrocks: now?  ?

time: 7.32.6 | liltdog2: idk

time: 7.32.14 | liltdog2: there was rune def in shop 

time: 7.32.17 | liltdog2: but i aint 40 def yet

time: 7.32.50 | sgsrocks: no

time: 7.32.53 | sgsrocks: i dont think so

time: 7.32.59 | liltdog2: dam

time: 7.33.13 | sgsrocks: lol 

time: 7.33.16 | liltdog2: bruh 

time: 7.33.27 | liltdog2: l0l

time: 7.33.43 | sgsrocks: lol 

time: 7.33.46 | sgsrocks: 3 fucking hp

time: 7.33.47 | sgsrocks: lol 

time: 7.34.11 | sgsrocks: must of never fully added the npc defs

time: 7.34.12 | sgsrocks: in

time: 7.34.19 | sgsrocks: was working on them, and quit

time: 7.34.20 | sgsrocks: lkol 

time: 7.34.23 | liltdog2: lol 

time: 7.34.39 | liltdog2: wooo redpartyhat! 

time: 7.34.46 | liltdog2: lol 

time: 7.36.7 | sgsrocks: fuck tis shit

time: 7.36.10 | sgsrocks: lol 

time: 7.36.11 | liltdog2: lol 

time: 7.36.25 | liltdog2: lmao 

time: 7.36.36 | liltdog2: u aint got pring? 

time: 7.37.26 | sgsrocks: really 

time: 7.37.46 | liltdog2: dam ive only been getting 200kcoin from presents

time: 7.37.56 | liltdog2: wat is drop rate

time: 7.38.24 | sgsrocks: lol 

time: 7.38.28 | sgsrocks: they are rare

time: 7.38.34 | sgsrocks: cant be too easy 

time: 7.38.45 | liltdog2: like 1 in 1000

time: 7.38.54 | sgsrocks: i dont eve remember 

time: 7.38.59 | sgsrocks: to ell u the truth

time: 7.39.0 | sgsrocks: koik

time: 7.39.2 | sgsrocks: lol 

time: 7.39.23 | liltdog2: do i lose items on death 

time: 7.39.41 | sgsrocks: yes

time: 7.39.44 | sgsrocks: be careful 

time: 7.41.1 | sgsrocks: theses maps are soo sexy

time: 7.41.1 | sgsrocks: lol 

time: 7.41.43 | sgsrocks: so many people want in btw 

time: 7.41.44 | sgsrocks: lol 

time: 7.41.53 | liltdog2: lol y aint yall lettin ppl in? 

time: 7.41.55 | liltdog2: server cost? 

time: 7.41.59 | sgsrocks: np 

time: 7.42.1 | sgsrocks: its closed beta 

time: 7.42.2 | sgsrocks: bro

time: 7.42.3 | sgsrocks: lol 

time: 7.42.4 | liltdog2: ah i see

time: 7.42.9 | sgsrocks: they need to do apps 

time: 7.42.10 | sgsrocks: lol 

time: 7.42.13 | liltdog2: well thanks for letting me in man 

time: 7.42.30 | sgsrocks: hey sam 

time: 7.42.36 | sarc: sup

time: 7.42.39 | sarc: brb 

time: 7.43.4 | sgsrocks: old reborn 

time: 7.43.11 | sgsrocks: not the other shit i tryed doing xd

time: 7.43.15 | sam: ahhh

time: 7.43.18 | sgsrocks: going to train

time: 7.43.52 | liltdog2: will beta itema

time: 7.43.56 | liltdog2: items

time: 7.43.57 | 757ghost: lol 

time: 7.43.59 | sgsrocks: love theses 525 maps

time: 7.44.2 | liltdog2: stay when full game released 

time: 7.44.9 | sgsrocks: idk yet bro

time: 7.44.10 | liltdog2: like will i have to start from sctarch again

time: 7.44.11 | sgsrocks: i want to

time: 7.44.13 | 757ghost: those good old 317 pi bugs 

time: 7.44.16 | 757ghost: i miss these 

time: 7.44.20 | sgsrocks: its not ip 

time: 7.44.21 | sgsrocks: bro

time: 7.44.22 | sgsrocks: lol 

time: 7.44.27 | sgsrocks: its older then pi

time: 7.44.30 | sgsrocks: xd 

time: 7.44.38 | 757ghost: uhh 

time: 7.44.42 | 757ghost: i forgot what older then pi 

time: 7.44.44 | 757ghost: xdd

time: 7.44.50 | sgsrocks: allstarscape

time: 7.44.54 | sgsrocks: xd 

time: 7.44.58 | sgsrocks: and deltascape

time: 7.45.1 | sgsrocks: and others

time: 7.45.7 | sgsrocks: winterlove

time: 7.45.8 | 757ghost: oh yeahhh delta 317 

time: 7.45.10 | 757ghost: .------.

time: 7.45.16 | 757ghost: i forgot that word 

time: 7.45.16 | sam: is left click broken

time: 7.45.24 | 757ghost: i havent been on a delta in forever 

time: 7.45.27 | sgsrocks: um 

time: 7.45.30 | sgsrocks: what java do u have sam

time: 7.45.34 | liltdog2: on drops sam

time: 7.45.34 | sgsrocks: 9+

time: 7.45.38 | sam: umm lemme check

time: 7.45.41 | liltdog2: u have to clikc once to go to tile

time: 7.45.46 | liltdog2: then click again to pick up 

time: 7.45.49 | sgsrocks: might need to put out another client to fix that

time: 7.45.50 | sgsrocks: lol 

time: 7.45.52 | sgsrocks: fucccck 

time: 7.46.2 | liltdog2: yeah its double click at least to pick up item jesse 

time: 7.46.5 | sam: looks like 8 u 361

time: 7.46.8 | sam: probs gotta update

time: 7.46.13 | 757ghost: what no way

time: 7.46.16 | sgsrocks: one sec

time: 7.46.16 | 757ghost: d scim

time: 7.46.18 | 757ghost: !!!

time: 7.46.21 | sgsrocks: lol 

time: 7.46.38 | sgsrocks: 525  700+ items 

time: 7.46.39 | sgsrocks: lol 

time: 7.46.42 | sam: will updating the java fix the clicking  

time: 7.46.47 | sgsrocks: soon

time: 7.46.54 | sgsrocks: ill get to it now 

time: 7.46.59 | sam: cuz if i do the one 2 buttons for mouse

time: 7.47.11 | sam: it only does like attack command not the right click on right side

time: 7.47.58 | 757ghost: looool your crazy to not pick up rune item 

time: 7.48.4 | 757ghost: lool

time: 7.48.16 | sam: oo dragon dagger 

time: 7.48.22 | sam: s when its supposed to be p

time: 7.49.24 | sgsrocks: there 

time: 7.49.31 | sgsrocks: check the beta test 

time: 7.49.35 | sgsrocks: fo the newone 

time: 7.49.44 | sam: ok 

time: 7.49.50 | sam: brb 

time: 7.50.48 | sgsrocks: better? 

time: 7.50.57 | sam: yeah 

time: 7.50.59 | sam: much lol

time: 7.51.1 | sgsrocks: okay

time: 7.51.7 | sam: hated the right click shit when it was on rs

time: 7.51.10 | 757ghost: wuttttt

time: 7.51.14 | 757ghost: amulet of glory 

time: 7.51.16 | 757ghost: omfg 

time: 7.51.20 | sgsrocks: lol 

time: 7.51.35 | sam: d scimy

time: 7.52.11 | 757ghost: holy cows dude 

time: 7.52.19 | 757ghost: ima be rich in no time

time: 7.52.21 | 757ghost: loooool 

time: 7.53.16 | liltdog2: vls has good stats jesse? i see it 100m in item shop

time: 7.53.25 | sam: yeah 

time: 7.54.36 | sam: lool

time: 7.54.41 | sgsrocks: what 

time: 7.54.45 | sam: rune chain isnt 40 def  

time: 7.54.52 | sgsrocks: lol 

time: 7.54.59 | sam: chainbody

time: 7.55.0 | sgsrocks: its old remember 

time: 7.55.1 | sgsrocks: lol 

time: 7.55.4 | sam: ik lol 

time: 7.55.7 | sgsrocks: xd 

time: 7.55.12 | liltdog2: jesse vls have good stats 

time: 7.55.36 | sgsrocks: i know

time: 7.55.37 | sgsrocks: lol 

time: 7.55.43 | liltdog2: it does? 

time: 7.55.49 | sgsrocks: i think it has real stats

time: 7.55.52 | sgsrocks: need to check

time: 7.55.56 | sgsrocks: its been too long 

time: 7.55.56 | sgsrocks: lol 

time: 7.55.57 | 757ghost: omfgz!!! 

time: 7.55.59 | 757ghost: omfg 

time: 7.56.6 | liltdog2: and u sure pring drops from presents?

time: 7.56.6 | 757ghost: how much is red p hats?

time: 7.56.11 | sgsrocks: no

time: 7.56.13 | sgsrocks: it does not 

time: 7.56.15 | sgsrocks: luckys do

time: 7.56.16 | sgsrocks: lol 

time: 7.56.22 | 757ghost: dude

time: 7.56.24 | sam: interewstib 

time: 7.56.26 | liltdog2: what monster drops luckys then?

time: 7.56.27 | 757ghost: how much r red phats?

time: 7.56.34 | sgsrocks: lol 

time: 7.56.37 | sgsrocks: do ::partyhat 

time: 7.56.38 | sgsrocks: lol 

time: 7.56.44 | sgsrocks: theres legit a mini game to get them

time: 7.56.53 | sgsrocks: lol 

time: 7.56.54 | liltdog2: high lvl monsters drop luckys?

time: 7.57.6 | sgsrocks: everything here

time: 7.57.19 | liltdog2: oh i see

time: 7.57.25 | sam: 200k s green cash color

time: 7.57.27 | liltdog2: i thought pring was very rare drop from present 

time: 7.57.35 | liltdog2: but ur saying lucky is very rare drop from all monsters 

time: 7.57.41 | sgsrocks: yes

time: 7.57.45 | liltdog2: i gotchu now 

time: 7.57.47 | sgsrocks: its random 

time: 7.57.48 | liltdog2: i was confused 

time: 7.58.20 | sgsrocks: check discord lit 

time: 7.58.22 | sgsrocks: lol 

time: 7.58.30 | liltdog2: kk

time: 7.58.32 | sam: sgs

time: 7.58.42 | sgsrocks: yes

time: 7.58.45 | sam: burying dragon bones opens up a banker chat 

time: 7.58.52 | sgsrocks: lol 

time: 7.58.55 | sgsrocks: okay

time: 7.59.1 | sam: make a note 

time: 7.59.29 | sgsrocks: sam check discord

time: 7.59.33 | sgsrocks: look at that old code 

time: 7.59.34 | sgsrocks: lol 

time: 7.59.41 | 757ghost: lol 

time: 7.59.47 | 757ghost: i got 1 gp as a drop 

time: 7.59.52 | 757ghost: % % 

time: 7.59.56 | 757ghost: %.%

time: 8.0.5 | sam: i dont read code but understand what its basically saying 

time: 8.0.10 | sam: or code

time: 8.0.14 | sgsrocks: basicly

time: 8.0.18 | sgsrocks: 1  800

time: 8.0.22 | sgsrocks: in in 800

time: 8.0.24 | sgsrocks: rolling

time: 8.0.41 | sgsrocks: of it hits 200 400 600 800 it gives

time: 8.0.45 | sgsrocks: a lucky

time: 8.0.48 | sgsrocks: elsse coins

time: 8.0.49 | sgsrocks: xd 

time: 8.0.57 | sam: need more mobs here lol

time: 8.1.5 | sgsrocks: theres other levels

time: 8.1.7 | sgsrocks: lol 

time: 8.1.21 | 757ghost: sgs brother 

time: 8.1.35 | sgsrocks: yes ghost 

time: 8.1.43 | 757ghost: does dags drop godswords?

time: 8.1.57 | sgsrocks: u havnt seen shops have u xd

time: 8.2.11 | 757ghost: i didnt 

time: 8.2.18 | 757ghost: idk where they where xdd 

time: 8.2.19 | sgsrocks: go look arpund 

time: 8.2.20 | sgsrocks: sir 

time: 8.2.20 | sam: nah 

time: 8.2.22 | sgsrocks: emtoe tab 

time: 8.2.26 | sgsrocks: is teleports 

time: 8.2.30 | 757ghost: yes masta 

time: 8.2.38 | 757ghost: i will thank you for a hint 

time: 8.2.40 | 757ghost: xdd

time: 8.7.9 | liltdog2: jesse is there altar for bones 

time: 8.7.17 | sgsrocks: um 

time: 8.7.18 | sgsrocks: klol 

time: 8.7.24 | sgsrocks: i think so 

time: 8.7.27 | sgsrocks: let me check

time: 8.7.33 | sam: robbing my jorge 

time: 8.7.40 | liltdog2: bruh 

time: 8.7.59 | 757ghost: wear this item dude 

time: 8.8.11 | sam: oo whip drop 

time: 8.8.25 | 757ghost: lol 

time: 8.8.38 | 757ghost: it in the wepion slot 

time: 8.8.41 | 757ghost: also

time: 8.8.42 | sgsrocks: yeo

time: 8.8.44 | sgsrocks: rep

time: 8.8.45 | 757ghost: i found a shop

time: 8.8.45 | sgsrocks: lol 

time: 8.8.50 | 757ghost: that 6 null items 

time: 8.8.51 | sam: i got sgs 

time: 8.9.25 | sgsrocks: remember this is from ages ago 

time: 8.9.30 | sam: yuh

time: 8.9.44 | sgsrocks: i have to add ids one by one to fix slots

time: 8.9.44 | sam: items lost on death right 

time: 8.9.44 | sam: ?

time: 8.9.45 | sgsrocks: 757

time: 8.9.57 | 757ghost: ffs 

time: 8.10.1 | 757ghost: its soo hard to click

time: 8.10.4 | 757ghost: o.o

time: 8.10.50 | sgsrocks: theres more areas

time: 8.10.51 | sgsrocks: yes

time: 8.12.5 | sgsrocks: t 

time: 8.12.8 | sgsrocks: d 

time: 8.12.12 | liltdog2: more blue drags somewhere jesse 

time: 8.12.13 | sgsrocks: d 

time: 8.12.13 | liltdog2: ?

time: 8.12.17 | sgsrocks: yes

time: 8.12.19 | sgsrocks: give me a sec 

time: 8.12.20 | sgsrocks: please 

time: 8.12.21 | liltdog2: ok 

time: 8.12.23 | liltdog2: sorry

time: 8.12.57 | sgsrocks: relog 2 times

time: 8.12.58 | sgsrocks: please 

time: 8.12.59 | sgsrocks: lit 

time: 8.15.2 | sgsrocks: d 

time: 8.18.22 | liltdog2: o shit

time: 8.18.23 | sgsrocks: ;p

time: 8.18.27 | liltdog2: nice 

time: 8.18.54 | sgsrocks: go down that ladder 

time: 8.19.16 | sgsrocks: o 

time: 8.19.17 | sgsrocks: lol 

time: 8.19.22 | sgsrocks: blue dragon cave

time: 8.19.22 | sgsrocks: lol 

time: 8.20.17 | 757ghost: wow! 

time: 8.20.20 | 757ghost: an null 

time: 8.20.20 | sam: ?

time: 8.20.23 | sam: lol 

time: 8.20.29 | 757ghost: the greatest drop yet!

time: 8.21.21 | liltdog2: sorry

time: 8.21.27 | 757ghost: all good 

time: 8.21.36 | liltdog2: u relog right when i attack lol

time: 8.21.46 | 757ghost: lol 

